wconfid,pctid,x,y,z
2,20,0.992,-0.008,-0.129
2,20,1.012,0.051,-0.109
2,20,0.98,-0.086,-0.141
2,20,0.973,-0.043,-0.125
2,20,1.012,0,-0.113
2,20,0.977,-0.059,-0.141
2,20,0.984,-0.039,-0.121
2,20,1.023,0.074,-0.117
2,20,0.988,0.004,-0.121
2,20,1.031,0.074,-0.121
2,20,0.969,0.004,-0.148
2,20,0.996,-0.039,-0.133
2,20,1.008,0.023,-0.113
2,20,0.953,0.066,-0.137
2,20,1.043,0.078,-0.078
2,20,0.965,0.078,-0.141
2,20,1.012,0.016,-0.129
2,20,0.965,0.098,-0.109
2,20,1.023,0.031,-0.129
2,20,0.98,-0.109,-0.133
2,20,0.973,0.02,-0.105
2,20,1.027,-0.008,-0.074
2,20,0.98,-0.102,-0.141
2,20,0.965,-0.031,-0.129
2,20,0.996,0.051,-0.117
2,20,0.969,-0.082,-0.133
2,20,0.969,-0.031,-0.125
2,20,1.02,0.051,-0.121
2,20,0.996,-0.016,-0.121
2,20,0.969,-0.027,-0.129
2,20,1.02,0.055,-0.117
2,20,0.977,-0.094,-0.145
2,20,0.98,-0.016,-0.121
2,20,1.008,0.043,-0.117
2,20,0.949,-0.086,-0.145
2,20,0.98,-0.043,-0.129
2,20,1,-0.004,-0.109
2,20,0.98,-0.066,-0.082
2,20,0.957,0.137,-0.129
2,20,1.023,0.07,-0.113
2,20,0.988,0,-0.129
2,20,1.031,0.078,-0.102
2,20,0.969,-0.004,-0.148
2,20,1,0.117,-0.109
2,20,0.98,-0.027,-0.105
2,20,0.969,0.004,-0.145
2,20,1.008,-0.035,-0.137
2,20,1.02,-0.113,-0.102
2,20,0.977,0.02,-0.137
2,20,0.992,-0.023,-0.121
2,20,1.012,-0.121,-0.105
2,20,0.977,0.023,-0.148
2,20,1.016,-0.012,-0.125
2,20,1.008,-0.109,-0.113
2,20,0.961,0.039,-0.148
2,20,1.039,-0.016,-0.125
2,20,0.992,-0.086,-0.113
2,20,0.973,0.051,-0.145
2,20,1.047,0.063,-0.137
2,20,0.973,0.082,-0.121
2,20,1.02,0.02,-0.129
2,20,0.988,-0.109,-0.133
2,20,0.965,-0.016,-0.133
2,20,0.992,0.031,-0.133
2,20,0.98,-0.09,-0.125
2,20,0.969,-0.016,-0.129
2,20,1.008,0.035,-0.125
2,20,1.004,-0.016,-0.121
2,20,0.969,-0.012,-0.109
2,20,1.02,0.035,-0.125
2,20,0.957,-0.105,-0.133
2,20,1,-0.016,-0.113
2,20,1.02,0.039,-0.121
2,20,0.949,-0.109,-0.145
2,20,0.969,-0.035,-0.129
2,20,1.016,0.023,-0.113
2,20,0.953,0.125,-0.133
2,20,1.031,0.078,-0.105
2,20,0.977,-0.039,-0.145
2,20,1,0.09,-0.125
2,20,1.016,-0.078,-0.102
2,20,0.969,-0.031,-0.148
2,20,0.992,0.094,-0.113
2,20,1.016,-0.063,-0.094
2,20,0.965,-0.016,-0.152
2,20,0.996,-0.047,-0.121
2,20,1.008,0.074,-0.109
2,20,0.973,-0.004,-0.148
2,20,1,-0.043,-0.117
2,20,1.039,0.098,-0.098
2,20,0.984,0.031,-0.117
2,20,1.035,-0.027,-0.133
2,20,1.016,-0.121,-0.109
2,20,0.969,0.012,-0.152
2,20,1.016,0.02,-0.109
2,20,0.965,0.066,-0.137
2,20,1.008,-0.004,-0.137
2,20,0.996,0.07,-0.078
2,20,0.969,0.02,-0.129
2,20,1.043,0.027,-0.078
2,20,0.961,0.133,-0.129
2,20,1.043,0.051,-0.121
2,20,0.965,0.105,-0.133
2,20,1.023,0.078,-0.102
2,20,0.977,-0.035,-0.152
2,20,0.98,0.07,-0.113
2,20,1.02,-0.074,-0.098
2,20,0.973,-0.023,-0.148
2,20,0.996,-0.047,-0.113
2,20,1.004,0.02,-0.113
2,20,0.961,-0.012,-0.141
2,20,0.992,-0.043,-0.109
2,20,1.027,0.09,-0.098
2,20,0.969,0.012,-0.129
2,20,1.031,-0.035,-0.133
2,20,1.012,-0.117,-0.102
2,20,0.969,0.004,-0.137
2,20,1.031,0.051,-0.129
2,20,0.969,0.074,-0.133
2,20,1.016,0,-0.141
2,20,1.016,-0.082,-0.109
2,20,0.965,0.008,-0.125
2,20,1.043,0.023,-0.074
2,20,0.957,0.129,-0.129
2,20,1.02,0.016,-0.121
2,20,0.949,0.109,-0.125
2,20,1.031,0.078,-0.105
2,20,0.973,-0.035,-0.148
2,20,1.008,-0.012,-0.121
2,20,1.031,0.07,-0.105
2,20,0.961,-0.016,-0.148
2,20,0.996,-0.039,-0.113
2,20,1.02,0.059,-0.102
2,20,0.973,-0.004,-0.145
2,20,1.004,-0.039,-0.117
2,20,0.977,0.066,-0.117
2,20,0.969,0.012,-0.137
2,20,1.043,0.078,-0.133
2,20,0.965,0.078,-0.145
2,20,1.008,-0.004,-0.121
2,20,0.988,0.063,-0.078
2,20,0.961,0.012,-0.148
2,20,1.051,0.027,-0.074
2,20,0.973,0.082,-0.125
2,20,1.031,0.043,-0.125
2,20,0.949,0.133,-0.141
2,20,1.023,0.082,-0.102
2,20,0.973,-0.031,-0.145
2,20,0.988,0.121,-0.121
2,20,1.02,-0.094,-0.094
2,20,0.992,0.004,-0.121
2,20,1.031,-0.035,-0.133
2,20,1.031,-0.102,-0.094
2,20,0.973,-0.012,-0.152
2,20,1.008,-0.004,-0.121
2,20,1.023,0.078,-0.094
2,20,0.977,-0.004,-0.148
2,20,0.992,-0.027,-0.109
2,20,1.012,0.063,-0.094
2,20,0.969,0.012,-0.145
2,20,1.043,0.086,-0.137
2,20,1,0.012,-0.109
2,20,1.02,0,-0.125
2,20,0.984,-0.133,-0.125
2,20,0.949,0.004,-0.121
2,20,1.023,0.004,-0.09
2,20,0.965,0.109,-0.125
2,20,1.043,0.055,-0.117
2,20,0.953,0.105,-0.137
2,20,1.02,0.051,-0.105
2,20,0.977,-0.031,-0.145
2,20,0.992,0.133,-0.109
2,20,1.016,0.004,-0.113
2,20,0.953,0.09,-0.109
2,20,1.035,0.09,-0.09
2,20,0.949,0.043,-0.145
2,20,1.004,0.016,-0.102
2,20,0.977,0.098,-0.133
2,20,1.02,0.016,-0.125
2,20,0.965,-0.113,-0.129
2,20,0.973,0.004,-0.125
2,20,1.043,0.008,-0.078
2,20,0.953,0.137,-0.121
2,20,1.027,-0.023,-0.121
2,20,0.969,-0.063,-0.141
2,20,0.988,0.129,-0.121
2,20,1.039,-0.059,-0.117
2,20,0.969,-0.023,-0.133
2,20,0.984,0.125,-0.125
2,20,1.031,-0.063,-0.082
2,20,0.992,-0.047,-0.133
2,20,0.992,0.121,-0.121
2,20,1.023,-0.074,-0.082
2,20,0.973,-0.051,-0.145
2,20,1.008,-0.012,-0.121
2,20,1.02,0.074,-0.109
2,20,0.969,-0.047,-0.148
2,20,0.984,-0.039,-0.105
2,20,1.02,0.059,-0.105
2,20,0.973,-0.035,-0.148
2,20,0.992,-0.047,-0.133
2,20,0.996,0.004,-0.109
2,20,0.973,-0.023,-0.141
2,20,0.992,-0.047,-0.129
2,20,1.031,0.086,-0.105
2,20,0.957,-0.008,-0.141
2,20,0.992,-0.043,-0.129
2,20,1.039,0.098,-0.105
2,20,0.984,0.02,-0.121
2,20,1.035,0.074,-0.09
2,20,0.965,0.066,-0.141
2,20,1.004,-0.004,-0.125
2,20,0.992,-0.07,-0.094
2,20,0.969,0.063,-0.145
2,20,1.008,-0.012,-0.133
2,20,1.043,-0.059,-0.117
2,20,0.969,0.07,-0.133
2,20,1.012,0,-0.129
2,20,0.957,-0.129,-0.133
2,20,0.973,0.012,-0.125
2,20,1.039,0.027,-0.078
2,20,0.969,0.141,-0.125
2,20,1.027,-0.02,-0.113
2,20,0.977,-0.078,-0.137
2,20,0.977,0.137,-0.121
2,20,1.031,-0.043,-0.086
2,20,0.977,-0.016,-0.137
2,20,0.977,0.121,-0.121
2,20,1.035,-0.051,-0.082
2,20,0.996,-0.055,-0.133
2,20,0.984,-0.031,-0.121
2,20,1.027,0.066,-0.113
2,20,0.973,-0.055,-0.148
2,20,1.004,-0.02,-0.121
2,20,1.02,0.07,-0.109
2,20,0.973,-0.051,-0.148
2,20,0.977,-0.027,-0.121
2,20,1.031,0.066,-0.102
2,20,0.973,-0.031,-0.152
2,20,0.988,-0.047,-0.129
2,20,1.02,0.027,-0.105
2,20,0.949,-0.023,-0.141
2,20,0.992,-0.051,-0.137
2,20,1.008,0.074,-0.109
2,20,0.953,-0.012,-0.133
2,20,1,-0.047,-0.129
2,20,1.035,0.094,-0.098
2,20,0.98,0.016,-0.141
2,20,1.035,0.078,-0.082
2,20,0.969,0.082,-0.145
2,20,0.996,0.008,-0.137
2,20,0.965,-0.109,-0.121
2,20,0.949,0.016,-0.117
2,20,1.043,0.031,-0.07
2,20,0.992,0.063,-0.121
2,20,1.031,-0.02,-0.113
2,20,0.98,-0.105,-0.145
2,20,0.977,0.086,-0.125
2,20,1.023,-0.023,-0.109
2,20,0.977,-0.078,-0.145
2,20,0.977,0.137,-0.117
2,20,1,-0.012,-0.105
2,20,0.973,-0.066,-0.145
2,20,0.977,0.141,-0.117
2,20,1.031,-0.043,-0.098
2,20,0.977,-0.047,-0.145
2,20,0.984,-0.043,-0.125
2,20,1.023,0.09,-0.105
2,20,0.969,-0.012,-0.125
2,20,0.984,-0.039,-0.117
2,20,1.02,0.078,-0.098
2,20,1.02,-0.02,-0.121
2,20,0.996,-0.035,-0.125
2,20,1.027,0.082,-0.102
2,20,0.977,-0.012,-0.152
2,20,1,-0.023,-0.117
2,20,1.027,0.09,-0.09
2,20,0.941,0.004,-0.148
2,20,0.98,0.066,-0.129
2,20,0.969,0.07,-0.145
2,20,1.012,-0.004,-0.133
2,20,1,0.078,-0.082
2,20,0.977,0.02,-0.121
2,20,1.035,0.031,-0.078
2,20,0.957,0.125,-0.129
2,20,1.031,0.035,-0.121
2,20,0.953,0.113,-0.117
2,20,1.027,0.074,-0.105
2,20,0.973,-0.043,-0.145
2,20,1,-0.02,-0.121
2,20,1.027,0.082,-0.098
2,20,0.969,-0.02,-0.152
2,20,0.984,-0.023,-0.105
2,20,1.027,0.078,-0.105
2,20,0.973,0,-0.145
2,20,1.035,-0.035,-0.137
2,20,1.008,-0.07,-0.105
2,20,0.965,0.004,-0.148
2,20,1.039,0.082,-0.137
2,20,1,0.031,-0.125
2,20,1.004,-0.008,-0.125
2,20,0.992,0.082,-0.086
2,20,0.961,0.008,-0.113
2,20,1.031,0.023,-0.086
2,20,0.969,0.125,-0.125
