DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Consumption
1/1/2017 0:00,6.559,73.8,0.083,0.051,0.119,16128.87538
1/1/2017 0:10,6.414,74.5,0.083,0.07,0.085,19375.07599
1/1/2017 0:20,6.313,74.5,0.08,0.062,0.1,19006.68693
1/1/2017 0:30,6.121,75,0.083,0.091,0.096,18361.09422
1/1/2017 0:40,5.921,75.7,0.081,0.048,0.085,17872.34043
1/1/2017 0:50,5.853,76.9,0.081,0.059,0.108,17416.41337
1/1/2017 1:00,5.641,77.7,0.08,0.048,0.096,16993.31307
1/1/2017 1:10,5.496,78.2,0.085,0.055,0.093,16661.39818
1/1/2017 1:20,5.678,78.1,0.081,0.066,0.141,16227.35562
1/1/2017 1:30,5.491,77.3,0.082,0.062,0.111,15939.20973
1/1/2017 1:40,5.516,77.5,0.081,0.051,0.108,15435.86626
1/1/2017 1:50,5.471,76.7,0.083,0.059,0.126,15213.37386
1/1/2017 2:00,5.059,78.6,0.081,0.07,0.096,15169.60486
1/1/2017 2:10,4.968,78.8,0.084,0.07,0.134,14710.0304
1/1/2017 2:20,4.975,78.9,0.083,0.055,0.152,14421.8845
1/1/2017 2:30,4.897,79.1,0.083,0.07,0.096,14104.55927
1/1/2017 2:40,5.02,79.7,0.081,0.051,0.134,13965.95745
1/1/2017 2:50,5.407,78.5,0.082,0.062,0.163,13612.15805
1/1/2017 3:00,5.169,77.9,0.083,0.066,0.108,13535.56231
1/1/2017 3:10,5.081,77.7,0.084,0.051,0.13,13371.42857
1/1/2017 3:20,5.041,77.2,0.081,0.062,0.152,13196.35258
1/1/2017 3:30,5.034,76.9,0.083,0.051,0.185,13167.17325
1/1/2017 3:40,4.896,76.6,0.085,0.07,0.137,13137.99392
1/1/2017 3:50,4.805,76.2,0.081,0.059,0.134,12908.20669
1/1/2017 4:00,4.753,75.7,0.083,0.044,0.134,12820.66869
1/1/2017 4:10,4.901,74.4,0.083,0.07,0.122,13032.21884
1/1/2017 4:20,5.203,74.1,0.085,0.062,0.096,12926.44377
1/1/2017 4:30,5.394,71.9,0.081,0.073,0.1,12948.32827
1/1/2017 4:40,5.156,74,0.079,0.062,0.148,12922.79635
1/1/2017 4:50,5.179,74.2,0.083,0.037,0.137,12879.02736
1/1/2017 5:00,4.934,72.9,0.082,0.055,0.134,12806.07903
1/1/2017 5:10,4.718,75.8,0.08,0.051,0.152,12853.49544
1/1/2017 5:20,5.546,74,0.082,0.055,0.093,12842.55319
1/1/2017 5:30,4.658,73.5,0.08,0.044,0.104,13137.99392
1/1/2017 5:40,4.382,76.9,0.081,0.073,0.148,13203.64742
1/1/2017 5:50,4.212,78.3,0.081,0.117,0.082,13575.68389
1/1/2017 6:00,4.308,77.2,0.081,0.062,0.126,14068.08511
1/1/2017 6:10,4.735,74.3,0.08,0.04,0.156,13852.88754
1/1/2017 6:20,4.769,75.6,0.082,0.099,0.063,13626.74772
1/1/2017 6:30,4.92,73.7,0.083,0.099,0.096,13582.97872
1/1/2017 6:40,4.408,76.7,0.082,0.037,0.119,13539.20973
1/1/2017 6:50,4.29,77,0.085,0.033,0.193,12908.20669
1/1/2017 7:00,4.304,76,0.082,0.048,0.152,12342.85714
1/1/2017 7:10,4.513,74.6,0.084,0.055,0.134,11897.87234
1/1/2017 7:20,4.489,74.3,0.082,0.081,0.119,11551.36778
1/1/2017 7:30,4.356,72.3,0.082,0.07,0.119,11263.22188
1/1/2017 7:40,4.478,72.2,0.083,0.073,0.089,10719.75684
1/1/2017 7:50,4.583,71,0.083,0.066,0.104,10924.01216
1/1/2017 8:00,4.794,72,0.084,0.187,0.145,10949.54407
1/1/2017 8:10,4.807,73.1,0.082,0.955,0.949,11347.11246
1/1/2017 8:20,4.757,73.5,0.083,3.188,3.134,11733.7386
1/1/2017 8:30,4.509,74.5,0.084,6.643,6.494,11945.28875
1/1/2017 8:40,4.346,74.8,0.082,12.64,10.13,12029.17933
1/1/2017 8:50,4.718,73.7,0.081,58.97,17,12426.74772
1/1/2017 9:00,4.704,71.8,0.083,82.5,20.15,12871.73252
1/1/2017 9:10,4.624,74.1,0.082,106.9,22.55,13203.64742
1/1/2017 9:20,4.629,74.8,0.083,132.1,24.3,13542.85714
1/1/2017 9:30,4.599,74,0.082,156.1,26.9,14046.20061
1/1/2017 9:40,4.524,74.7,0.081,182.4,28.19,14392.70517
