,name,locationStatus,timestamp,rssiOne,rssiTwo
4444,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367512834,-71,-71
4447,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367512834,-71,-71
4450,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367512834,-71,-71
4453,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367512834,-71,-71
4455,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367512834,-71,-71
4459,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367518884,-71,-71
4462,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367518884,-71,-71
4465,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367518884,-71,-71
4468,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367518884,-71,-71
4471,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367518884,-71,-71
4496,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367534025,-68,-68
4499,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367534025,-68,-68
4502,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367534025,-68,-68
4505,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367534025,-68,-68
4508,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367534025,-68,-68
4511,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367535088,-75,-75
4514,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367536121,-75,-75
4517,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367537179,-83,-83
4520,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367538108,-69,-69
4523,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367539144,-66,-66
4526,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367540823,-71,-71
4529,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367541002,-73,-73
4532,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367542360,-72,-72
4535,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367543018,-61,-61
4538,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367544119,-77,-77
4541,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367545746,-79,-79
4544,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367546343,-82,-82
4547,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367547242,-77,-77
4550,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367548307,-71,-71
4553,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367549414,-76,-76
4556,FF:FF:C2:1E:02:D2,IN_VESTIBULE,1551367550021,-84,-84
