,name,locationStatus,timestamp,rssiOne,rssiTwo
0,FF:FF:C0:21:F1:31,INSIDE,1551367495147,-90,-90
4,FF:FF:C0:21:F1:31,INSIDE,1551367496906,-94,-94
8,FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
12,FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
16,FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
20,FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
24,FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
28,FF:FF:C0:21:F1:31,INSIDE,1551367502621,-89,-89
32,FF:FF:C0:21:F1:31,INSIDE,1551367503304,-94,-94
36,FF:FF:C0:21:F1:31,INSIDE,1551367504223,-89,-89
40,FF:FF:C0:21:F1:31,INSIDE,1551367506032,-89,-89
44,FF:FF:C0:21:F1:31,INSIDE,1551367506032,-89,-89
48,FF:FF:C0:21:F1:31,INSIDE,1551367507120,-95,-95
52,FF:FF:C0:21:F1:31,INSIDE,1551367509197,-94,-94
56,FF:FF:C0:21:F1:31,INSIDE,1551367509197,-94,-94
60,FF:FF:C0:21:F1:31,INSIDE,1551367510476,-82,-82
64,FF:FF:C0:21:F1:31,INSIDE,1551367511031,-88,-88
68,FF:FF:C0:21:F1:31,INSIDE,1551367512874,-89,-89
72,FF:FF:C0:21:F1:31,INSIDE,1551367514314,-96,-96
76,FF:FF:C0:21:F1:31,INSIDE,1551367514314,-96,-96
80,FF:FF:C0:21:F1:31,INSIDE,1551367515195,-89,-89
83,FF:FF:C0:21:F1:31,INSIDE,1551367516323,-94,-94
86,FF:FF:C0:21:F1:31,INSIDE,1551367517019,-90,-90
98,FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
102,FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
106,FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
110,FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
114,FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
118,FF:FF:C0:21:F1:31,INSIDE,1551367528004,-94,-94
122,FF:FF:C0:21:F1:31,INSIDE,1551367528004,-94,-94
126,FF:FF:C0:21:F1:31,INSIDE,1551367528004,-94,-94
130,FF:FF:C0:21:F1:31,INSIDE,1551367529960,-93,-93
134,FF:FF:C0:21:F1:31,INSIDE,1551367530026,-93,-93
138,FF:FF:C0:21:F1:31,INSIDE,1551367531027,-85,-85
142,FF:FF:C0:21:F1:31,INSIDE,1551367532766,-84,-84
146,FF:FF:C0:21:F1:31,INSIDE,1551367533316,-85,-85
150,FF:FF:C0:21:F1:31,INSIDE,1551367534026,-83,-83
153,FF:FF:C0:21:F1:31,INSIDE,1551367535088,-83,-83
156,FF:FF:C0:21:F1:31,INSIDE,1551367536086,-89,-89
159,FF:FF:C0:21:F1:31,INSIDE,1551367537183,-93,-93
163,FF:FF:C0:21:F1:31,INSIDE,1551367538672,-88,-88
167,FF:FF:C0:21:F1:31,INSIDE,1551367539150,-88,-88
171,FF:FF:C0:21:F1:31,INSIDE,1551367542278,-93,-93
175,FF:FF:C0:21:F1:31,INSIDE,1551367542278,-93,-93
179,FF:FF:C0:21:F1:31,INSIDE,1551367542278,-93,-93
183,FF:FF:C0:21:F1:31,INSIDE,1551367545040,-92,-92
187,FF:FF:C0:21:F1:31,INSIDE,1551367545040,-92,-92
191,FF:FF:C0:21:F1:31,INSIDE,1551367545040,-92,-92
195,FF:FF:C0:21:F1:31,INSIDE,1551367547943,-84,-84
199,FF:FF:C0:21:F1:31,INSIDE,1551367547943,-84,-84
203,FF:FF:C0:21:F1:31,INSIDE,1551367548091,-81,-81
207,FF:FF:C0:21:F1:31,INSIDE,1551367549253,-88,-88
211,FF:FF:C0:21:F1:31,INSIDE,1551367550162,-81,-81
215,FF:FF:C0:21:F1:31,INSIDE,1551367551041,-89,-89
219,FF:FF:C0:21:F1:31,INSIDE,1551367552723,-94,-94
232,FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
236,FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
240,FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
244,FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
248,FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
252,FF:FF:C0:21:F1:31,INSIDE,1551367561486,-92,-92
256,FF:FF:C0:21:F1:31,INSIDE,1551367562652,-90,-90
260,FF:FF:C0:21:F1:31,INSIDE,1551367563252,-91,-91
264,FF:FF:C0:21:F1:31,INSIDE,1551367564299,-92,-92
268,FF:FF:C0:21:F1:31,INSIDE,1551367565850,-93,-93
272,FF:FF:C0:21:F1:31,INSIDE,1551367566201,-93,-93
276,FF:FF:C0:21:F1:31,INSIDE,1551367567902,-93,-93
280,FF:FF:C0:21:F1:31,INSIDE,1551367569899,-91,-91
284,FF:FF:C0:21:F1:31,INSIDE,1551367569899,-91,-91
288,FF:FF:C0:21:F1:31,INSIDE,1551367571729,-92,-92
292,FF:FF:C0:21:F1:31,INSIDE,1551367571729,-92,-92
296,FF:FF:C0:21:F1:31,INSIDE,1551367572211,-86,-86
300,FF:FF:C0:21:F1:31,INSIDE,1551367576062,-74,-74
304,FF:FF:C0:21:F1:31,INSIDE,1551367576062,-74,-74
308,FF:FF:C0:21:F1:31,INSIDE,1551367576062,-74,-74
312,FF:FF:C0:21:F1:31,INSIDE,1551367576062,-74,-74
316,FF:FF:C0:21:F1:31,INSIDE,1551367579607,-76,-76
320,FF:FF:C0:21:F1:31,INSIDE,1551367579607,-76,-76
324,FF:FF:C0:21:F1:31,INSIDE,1551367579607,-76,-76
328,FF:FF:C0:21:F1:31,INSIDE,1551367580288,-75,-75
332,FF:FF:C0:21:F1:31,INSIDE,1551367581211,-88,-88
336,FF:FF:C0:21:F1:31,INSIDE,1551367582671,-90,-90
340,FF:FF:C0:21:F1:31,INSIDE,1551367583475,-93,-93
344,FF:FF:C0:21:F1:31,INSIDE,1551367584399,-90,-90
347,FF:FF:C0:21:F1:31,INSIDE,1551367585040,-90,-90
351,FF:FF:C0:21:F1:31,INSIDE,1551367586077,-91,-91
355,FF:FF:C0:21:F1:31,INSIDE,1551367589466,-90,-90
359,FF:FF:C0:21:F1:31,INSIDE,1551367589466,-90,-90
362,FF:FF:C0:21:F1:31,INSIDE,1551367589466,-90,-90
365,FF:FF:C0:21:F1:31,INSIDE,1551367590220,-90,-90
369,FF:FF:C0:21:F1:31,INSIDE,1551367592274,-93,-93
373,FF:FF:C0:21:F1:31,INSIDE,1551367592274,-93,-93
376,FF:FF:C0:21:F1:31,INSIDE,1551367596111,-96,-96
380,FF:FF:C0:21:F1:31,INSIDE,1551367596111,-96,-96
384,FF:FF:C0:21:F1:31,INSIDE,1551367596111,-96,-96
388,FF:FF:C0:21:F1:31,INSIDE,1551367596111,-96,-96
392,FF:FF:C0:21:F1:31,INSIDE,1551367598436,-91,-91
396,FF:FF:C0:21:F1:31,INSIDE,1551367598436,-91,-91
400,FF:FF:C0:21:F1:31,INSIDE,1551367601425,-92,-92
404,FF:FF:C0:21:F1:31,INSIDE,1551367601425,-92,-92
408,FF:FF:C0:21:F1:31,INSIDE,1551367601425,-92,-92
411,FF:FF:C0:21:F1:31,INSIDE,1551367602511,-88,-88
414,FF:FF:C0:21:F1:31,INSIDE,1551367603156,-89,-89
417,FF:FF:C0:21:F1:31,INSIDE,1551367604262,-89,-89
420,FF:FF:C0:21:F1:31,INSIDE,1551367609047,-86,-86
424,FF:FF:C0:21:F1:31,INSIDE,1551367609047,-86,-86
428,FF:FF:C0:21:F1:31,INSIDE,1551367609047,-86,-86
432,FF:FF:C0:21:F1:31,INSIDE,1551367609047,-86,-86
436,FF:FF:C0:21:F1:31,INSIDE,1551367609047,-86,-86
440,FF:FF:C0:21:F1:31,INSIDE,1551367610489,-84,-84
444,FF:FF:C0:21:F1:31,INSIDE,1551367611907,-90,-90
447,FF:FF:C0:21:F1:31,INSIDE,1551367612900,-91,-91
450,FF:FF:C0:21:F1:31,INSIDE,1551367614733,-90,-90
453,FF:FF:C0:21:F1:31,INSIDE,1551367614733,-90,-90
456,FF:FF:C0:21:F1:31,INSIDE,1551367615812,-85,-85
459,FF:FF:C0:21:F1:31,INSIDE,1551367616131,-86,-86
462,FF:FF:C0:21:F1:31,INSIDE,1551367621068,-94,-94
466,FF:FF:C0:21:F1:31,INSIDE,1551367621068,-94,-94
470,FF:FF:C0:21:F1:31,INSIDE,1551367621068,-94,-94
474,FF:FF:C0:21:F1:31,INSIDE,1551367621068,-94,-94
478,FF:FF:C0:21:F1:31,INSIDE,1551367621068,-94,-94
482,FF:FF:C0:21:F1:31,INSIDE,1551367622139,-89,-89
486,FF:FF:C0:21:F1:31,INSIDE,1551367624408,-86,-86
490,FF:FF:C0:21:F1:31,INSIDE,1551367624408,-86,-86
494,FF:FF:C0:21:F1:31,INSIDE,1551367625091,-88,-88
498,FF:FF:C0:21:F1:31,INSIDE,1551367626201,-93,-93
502,FF:FF:C0:21:F1:31,INSIDE,1551367628557,-82,-82
506,FF:FF:C0:21:F1:31,INSIDE,1551367628557,-82,-82
510,FF:FF:C0:21:F1:31,INSIDE,1551367629133,-82,-82
514,FF:FF:C0:21:F1:31,INSIDE,1551367630028,-86,-86
518,FF:FF:C0:21:F1:31,INSIDE,1551367631532,-82,-82
