,name,locationStatus,timestamp,rssiOne,rssiTwo
3,FF:FF:C0:21:EF:BF,INSIDE,1551367497508,-82,-82
7,FF:FF:C0:21:EF:BF,INSIDE,1551367497508,-82,-82
11,FF:FF:C0:21:EF:BF,INSIDE,1551367497508,-82,-82
15,FF:FF:C0:21:EF:BF,INSIDE,1551367500066,-79,-79
19,FF:FF:C0:21:EF:BF,INSIDE,1551367500066,-79,-79
23,FF:FF:C0:21:EF:BF,INSIDE,1551367500066,-79,-79
27,FF:FF:C0:21:EF:BF,INSIDE,1551367501006,-86,-86
31,FF:FF:C0:21:EF:BF,INSIDE,1551367502195,-92,-92
35,FF:FF:C0:21:EF:BF,INSIDE,1551367503345,-93,-93
39,FF:FF:C0:21:EF:BF,INSIDE,1551367504074,-84,-84
43,FF:FF:C0:21:EF:BF,INSIDE,1551367505184,-88,-88
47,FF:FF:C0:21:EF:BF,INSIDE,1551367506032,-87,-87
51,FF:FF:C0:21:EF:BF,INSIDE,1551367507114,-85,-85
55,FF:FF:C0:21:EF:BF,INSIDE,1551367509495,-89,-89
59,FF:FF:C0:21:EF:BF,INSIDE,1551367509495,-89,-89
63,FF:FF:C0:21:EF:BF,INSIDE,1551367510074,-87,-87
67,FF:FF:C0:21:EF:BF,INSIDE,1551367511152,-82,-82
71,FF:FF:C0:21:EF:BF,INSIDE,1551367512057,-91,-91
75,FF:FF:C0:21:EF:BF,INSIDE,1551367513322,-86,-86
79,FF:FF:C0:21:EF:BF,INSIDE,1551367514314,-87,-87
91,FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
94,FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
97,FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
101,FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
105,FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
109,FF:FF:C0:21:EF:BF,INSIDE,1551367523084,-90,-90
113,FF:FF:C0:21:EF:BF,INSIDE,1551367524163,-94,-94
117,FF:FF:C0:21:EF:BF,INSIDE,1551367525109,-92,-92
121,FF:FF:C0:21:EF:BF,INSIDE,1551367526127,-82,-82
125,FF:FF:C0:21:EF:BF,INSIDE,1551367527008,-85,-85
129,FF:FF:C0:21:EF:BF,INSIDE,1551367528017,-91,-91
133,FF:FF:C0:21:EF:BF,INSIDE,1551367529076,-85,-85
137,FF:FF:C0:21:EF:BF,INSIDE,1551367530560,-91,-91
141,FF:FF:C0:21:EF:BF,INSIDE,1551367531668,-91,-91
145,FF:FF:C0:21:EF:BF,INSIDE,1551367532237,-91,-91
149,FF:FF:C0:21:EF:BF,INSIDE,1551367533118,-88,-88
152,FF:FF:C0:21:EF:BF,INSIDE,1551367534067,-96,-96
155,FF:FF:C0:21:EF:BF,INSIDE,1551367535277,-83,-83
158,FF:FF:C0:21:EF:BF,INSIDE,1551367536080,-80,-80
162,FF:FF:C0:21:EF:BF,INSIDE,1551367537358,-93,-93
166,FF:FF:C0:21:EF:BF,INSIDE,1551367538263,-96,-96
170,FF:FF:C0:21:EF:BF,INSIDE,1551367540424,-85,-85
174,FF:FF:C0:21:EF:BF,INSIDE,1551367540424,-85,-85
178,FF:FF:C0:21:EF:BF,INSIDE,1551367542480,-87,-87
182,FF:FF:C0:21:EF:BF,INSIDE,1551367542480,-87,-87
186,FF:FF:C0:21:EF:BF,INSIDE,1551367543016,-89,-89
190,FF:FF:C0:21:EF:BF,INSIDE,1551367544075,-86,-86
194,FF:FF:C0:21:EF:BF,INSIDE,1551367545348,-87,-87
198,FF:FF:C0:21:EF:BF,INSIDE,1551367546119,-86,-86
202,FF:FF:C0:21:EF:BF,INSIDE,1551367547247,-83,-83
206,FF:FF:C0:21:EF:BF,INSIDE,1551367548308,-89,-89
210,FF:FF:C0:21:EF:BF,INSIDE,1551367550447,-93,-93
214,FF:FF:C0:21:EF:BF,INSIDE,1551367550447,-93,-93
218,FF:FF:C0:21:EF:BF,INSIDE,1551367551271,-88,-88
222,FF:FF:C0:21:EF:BF,INSIDE,1551367552121,-85,-85
225,FF:FF:C0:21:EF:BF,INSIDE,1551367553006,-86,-86
228,FF:FF:C0:21:EF:BF,INSIDE,1551367554022,-87,-87
231,FF:FF:C0:21:EF:BF,INSIDE,1551367555317,-90,-90
235,FF:FF:C0:21:EF:BF,INSIDE,1551367556561,-88,-88
239,FF:FF:C0:21:EF:BF,INSIDE,1551367557640,-86,-86
243,FF:FF:C0:21:EF:BF,INSIDE,1551367558544,-86,-86
247,FF:FF:C0:21:EF:BF,INSIDE,1551367559607,-93,-93
251,FF:FF:C0:21:EF:BF,INSIDE,1551367560218,-89,-89
255,FF:FF:C0:21:EF:BF,INSIDE,1551367561282,-89,-89
259,FF:FF:C0:21:EF:BF,INSIDE,1551367562384,-86,-86
263,FF:FF:C0:21:EF:BF,INSIDE,1551367563841,-91,-91
267,FF:FF:C0:21:EF:BF,INSIDE,1551367564948,-87,-87
271,FF:FF:C0:21:EF:BF,INSIDE,1551367565143,-92,-92
275,FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
279,FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
283,FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
287,FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
291,FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
295,FF:FF:C0:21:EF:BF,INSIDE,1551367571013,-83,-83
299,FF:FF:C0:21:EF:BF,INSIDE,1551367572807,-84,-84
303,FF:FF:C0:21:EF:BF,INSIDE,1551367573028,-86,-86
307,FF:FF:C0:21:EF:BF,INSIDE,1551367574087,-91,-91
311,FF:FF:C0:21:EF:BF,INSIDE,1551367575033,-89,-89
315,FF:FF:C0:21:EF:BF,INSIDE,1551367576269,-77,-77
319,FF:FF:C0:21:EF:BF,INSIDE,1551367577065,-80,-80
323,FF:FF:C0:21:EF:BF,INSIDE,1551367578325,-86,-86
327,FF:FF:C0:21:EF:BF,INSIDE,1551367579035,-87,-87
331,FF:FF:C0:21:EF:BF,INSIDE,1551367582879,-94,-94
335,FF:FF:C0:21:EF:BF,INSIDE,1551367582879,-94,-94
339,FF:FF:C0:21:EF:BF,INSIDE,1551367582879,-94,-94
343,FF:FF:C0:21:EF:BF,INSIDE,1551367583293,-85,-85
346,FF:FF:C0:21:EF:BF,INSIDE,1551367584343,-88,-88
350,FF:FF:C0:21:EF:BF,INSIDE,1551367585436,-88,-88
354,FF:FF:C0:21:EF:BF,INSIDE,1551367586027,-89,-89
358,FF:FF:C0:21:EF:BF,INSIDE,1551367587586,-87,-87
361,FF:FF:C0:21:EF:BF,INSIDE,1551367589536,-93,-93
364,FF:FF:C0:21:EF:BF,INSIDE,1551367589536,-93,-93
368,FF:FF:C0:21:EF:BF,INSIDE,1551367591668,-92,-92
372,FF:FF:C0:21:EF:BF,INSIDE,1551367591668,-92,-92
379,FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
383,FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
387,FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
391,FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
395,FF:FF:C0:21:EF:BF,INSIDE,1551367597831,-93,-93
399,FF:FF:C0:21:EF:BF,INSIDE,1551367598806,-93,-93
403,FF:FF:C0:21:EF:BF,INSIDE,1551367599314,-88,-88
407,FF:FF:C0:21:EF:BF,INSIDE,1551367600088,-87,-87
410,FF:FF:C0:21:EF:BF,INSIDE,1551367601699,-89,-89
413,FF:FF:C0:21:EF:BF,INSIDE,1551367603133,-93,-93
416,FF:FF:C0:21:EF:BF,INSIDE,1551367603133,-93,-93
419,FF:FF:C0:21:EF:BF,INSIDE,1551367606154,-87,-87
423,FF:FF:C0:21:EF:BF,INSIDE,1551367606154,-87,-87
427,FF:FF:C0:21:EF:BF,INSIDE,1551367606154,-87,-87
431,FF:FF:C0:21:EF:BF,INSIDE,1551367607022,-84,-84
435,FF:FF:C0:21:EF:BF,INSIDE,1551367608097,-87,-87
439,FF:FF:C0:21:EF:BF,INSIDE,1551367610393,-86,-86
443,FF:FF:C0:21:EF:BF,INSIDE,1551367610393,-86,-86
446,FF:FF:C0:21:EF:BF,INSIDE,1551367611420,-86,-86
449,FF:FF:C0:21:EF:BF,INSIDE,1551367612546,-73,-73
452,FF:FF:C0:21:EF:BF,INSIDE,1551367613425,-89,-89
455,FF:FF:C0:21:EF:BF,INSIDE,1551367614028,-91,-91
458,FF:FF:C0:21:EF:BF,INSIDE,1551367615492,-87,-87
461,FF:FF:C0:21:EF:BF,INSIDE,1551367618341,-89,-89
465,FF:FF:C0:21:EF:BF,INSIDE,1551367618341,-89,-89
469,FF:FF:C0:21:EF:BF,INSIDE,1551367618341,-89,-89
473,FF:FF:C0:21:EF:BF,INSIDE,1551367619124,-95,-95
477,FF:FF:C0:21:EF:BF,INSIDE,1551367621848,-89,-89
481,FF:FF:C0:21:EF:BF,INSIDE,1551367621848,-89,-89
485,FF:FF:C0:21:EF:BF,INSIDE,1551367622801,-92,-92
489,FF:FF:C0:21:EF:BF,INSIDE,1551367623009,-89,-89
493,FF:FF:C0:21:EF:BF,INSIDE,1551367624021,-96,-96
497,FF:FF:C0:21:EF:BF,INSIDE,1551367625109,-89,-89
501,FF:FF:C0:21:EF:BF,INSIDE,1551367626066,-91,-91
505,FF:FF:C0:21:EF:BF,INSIDE,1551367627492,-84,-84
509,FF:FF:C0:21:EF:BF,INSIDE,1551367628066,-82,-82
513,FF:FF:C0:21:EF:BF,INSIDE,1551367629351,-89,-89
517,FF:FF:C0:21:EF:BF,INSIDE,1551367630027,-88,-88
520,FF:FF:C0:21:EF:BF,INSIDE,1551367631152,-92,-92
523,FF:FF:C0:21:EF:BF,INSIDE,1551367632097,-87,-87
527,FF:FF:C0:21:EF:BF,INSIDE,1551367633661,-91,-91
531,FF:FF:C0:21:EF:BF,INSIDE,1551367634731,-81,-81
535,FF:FF:C0:21:EF:BF,INSIDE,1551367635392,-93,-93
539,FF:FF:C0:21:EF:BF,INSIDE,1551367636457,-87,-87
543,FF:FF:C0:21:EF:BF,INSIDE,1551367637239,-94,-94
547,FF:FF:C0:21:EF:BF,INSIDE,1551367638864,-94,-94
551,FF:FF:C0:21:EF:BF,INSIDE,1551367639195,-93,-93
555,FF:FF:C0:21:EF:BF,INSIDE,1551367640268,-93,-93
559,FF:FF:C0:21:EF:BF,INSIDE,1551367641605,-93,-93
563,FF:FF:C0:21:EF:BF,INSIDE,1551367644120,-93,-93
567,FF:FF:C0:21:EF:BF,INSIDE,1551367644120,-93,-93
571,FF:FF:C0:21:EF:BF,INSIDE,1551367644120,-93,-93
575,FF:FF:C0:21:EF:BF,INSIDE,1551367645789,-93,-93
579,FF:FF:C0:21:EF:BF,INSIDE,1551367647055,-94,-94
583,FF:FF:C0:21:EF:BF,INSIDE,1551367647055,-94,-94
587,FF:FF:C0:21:EF:BF,INSIDE,1551367648624,-93,-93
591,FF:FF:C0:21:EF:BF,INSIDE,1551367649098,-93,-93
595,FF:FF:C0:21:EF:BF,INSIDE,1551367650174,-90,-90
598,FF:FF:C0:21:EF:BF,INSIDE,1551367653455,-90,-90
602,FF:FF:C0:21:EF:BF,INSIDE,1551367653455,-90,-90
606,FF:FF:C0:21:EF:BF,INSIDE,1551367653455,-90,-90
610,FF:FF:C0:21:EF:BF,INSIDE,1551367654140,-87,-87
614,FF:FF:C0:21:EF:BF,INSIDE,1551367656425,-88,-88
618,FF:FF:C0:21:EF:BF,INSIDE,1551367656425,-88,-88
622,FF:FF:C0:21:EF:BF,INSIDE,1551367657096,-86,-86
626,FF:FF:C0:21:EF:BF,INSIDE,1551367658376,-86,-86
630,FF:FF:C0:21:EF:BF,INSIDE,1551367659134,-93,-93
634,FF:FF:C0:21:EF:BF,INSIDE,1551367661825,-86,-86
638,FF:FF:C0:21:EF:BF,INSIDE,1551367661825,-86,-86
642,FF:FF:C0:21:EF:BF,INSIDE,1551367662884,-91,-91
646,FF:FF:C0:21:EF:BF,INSIDE,1551367663100,-85,-85
650,FF:FF:C0:21:EF:BF,INSIDE,1551367664176,-96,-96
654,FF:FF:C0:21:EF:BF,INSIDE,1551367666070,-89,-89
658,FF:FF:C0:21:EF:BF,INSIDE,1551367666070,-89,-89
662,FF:FF:C0:21:EF:BF,INSIDE,1551367668876,-91,-91
665,FF:FF:C0:21:EF:BF,INSIDE,1551367668876,-91,-91
668,FF:FF:C0:21:EF:BF,INSIDE,1551367669259,-91,-91
671,FF:FF:C0:21:EF:BF,INSIDE,1551367670314,-89,-89
675,FF:FF:C0:21:EF:BF,INSIDE,1551367671012,-93,-93
679,FF:FF:C0:21:EF:BF,INSIDE,1551367673414,-93,-93
683,FF:FF:C0:21:EF:BF,INSIDE,1551367673414,-93,-93
687,FF:FF:C0:21:EF:BF,INSIDE,1551367674346,-90,-90
691,FF:FF:C0:21:EF:BF,INSIDE,1551367675447,-88,-88
695,FF:FF:C0:21:EF:BF,INSIDE,1551367676149,-84,-84
699,FF:FF:C0:21:EF:BF,INSIDE,1551367677226,-85,-85
703,FF:FF:C0:21:EF:BF,INSIDE,1551367678710,-80,-80
707,FF:FF:C0:21:EF:BF,INSIDE,1551367679497,-93,-93
711,FF:FF:C0:21:EF:BF,INSIDE,1551367680181,-88,-88
715,FF:FF:C0:21:EF:BF,INSIDE,1551367681028,-92,-92
719,FF:FF:C0:21:EF:BF,INSIDE,1551367682305,-80,-80
723,FF:FF:C0:21:EF:BF,INSIDE,1551367684214,-93,-93
727,FF:FF:C0:21:EF:BF,INSIDE,1551367684214,-93,-93
731,FF:FF:C0:21:EF:BF,INSIDE,1551367685859,-93,-93
735,FF:FF:C0:21:EF:BF,INSIDE,1551367688066,-92,-92
738,FF:FF:C0:21:EF:BF,INSIDE,1551367688066,-92,-92
741,FF:FF:C0:21:EF:BF,INSIDE,1551367688066,-92,-92
744,FF:FF:C0:21:EF:BF,INSIDE,1551367689143,-86,-86
748,FF:FF:C0:21:EF:BF,INSIDE,1551367690011,-97,-97
752,FF:FF:C0:21:EF:BF,INSIDE,1551367691007,-92,-92
